id_bike,nombre,tipo,tiempo
51,Falito,BMX,104
52,Hyacinthia,BMX,84
53,Mauricio,PLAYERA,97
54,Gayler,BMX,50
55,Warren,PLAYERA,68
56,Monique,PLAYERA,104
57,Kania,BMX,54
58,Damara,MTB,70
59,Ellerey,MTB,50
60,Sylvan,BMX,90
61,Shannon,PLAYERA,73
62,Avis,MTB,91
63,Herrick,PASEO,98
64,Rolph,PASEO,111
65,Kirbee,PLAYERA,78
66,Jimmie,PLAYERA,104
67,Buddie,PLAYERA,111
68,Jobie,MTB,58
69,Lothario,PLAYERA,113
70,Jenda,PASEO,117
71,Lynea,PASEO,52
72,Henriette,PASEO,77
73,Giorgio,PASEO,114
74,Karrah,PASEO,89
75,Blayne,BMX,104
76,Becki,BMX,77
77,Zorine,BMX,59
78,Fern,BMX,93
79,Kalila,MTB,64
80,Celle,PASEO,111
81,Auberta,PLAYERA,102
82,Lisa,PASEO,52
83,Adams,PLAYERA,68
84,Shea,PASEO,61
85,Laurens,PASEO,61
86,Alla,PLAYERA,98
87,Izabel,PASEO,58
88,Spenser,BMX,64
89,Rollins,MTB,68
90,Sol,PLAYERA,99
91,Buiron,MTB,67
92,Keri,BMX,55
93,Richmound,MTB,114
94,Dorree,MTB,75
95,Essie,PLAYERA,78
96,Torie,PASEO,60
97,Christi,MTB,120
98,Sancho,BMX,68
99,Somerset,PASEO,88
100,Violet,BMX,56
